zps,name,website,gruendung,mitglieder,weibliche_mitglieder,jugendliche,durchschnitts_alter,durchschnitts_dwz,dvm_teilnahmen
61313,SF Essen-Werden 1924/80,http://www.sf-werden.de,,80,11,37,36,1411,2
61324,SF Essen-Katernberg 04/32,http://www.sfk-schach.de,1932-00-00,116,5,48,42,1652,4
62101,Schachgesellschaft Solingen e.V.,http://www.schachgesellschaft.de,,137,9,56,37,1783,11
62202,Düsseldorfer Schachverein 1854,,,103,18,38,40,1503,2
62236,Düsseldorfer SK 14/25,http://www.duesseldorfer-schachklub.de,,141,15,48,39,1784,8
62452,Schachfüchse Kempen 1986 e.V.,https://www.schachfuechse.de,1986-00-00,59,2,30,32,1449,1
63203,SV Hemer 1932,,,58,10,30,31,1623,4
63510,MS Springer Halver-Schalksmühle,http://www.sc1959.de,,76,5,35,35,1522,7
64228,SK Blauer Springer Paderborn 1926 e.V.,http://www.blauerspringer.de,,103,18,65,27,1498,19
64231,LSV Turm Lippstadt,http://www.turm-open.de/lsvturm/wp-content/uploads/wegostendorf.gif,,143,23,63,37,1543,6
65213,SG Turm Raesfeld/Erle,http://turm-raesfeld.de,,73,13,44,29,1391,11
65301,Schachklub Münster 32 e.V.,http://www.sk32.de,1932-00-00,165,15,74,36,1609,10
66105,DJK Aufwärts St. Josef Aachen 1920,http://www.djk-aufwaerts-aachen.de,1953-00-00,181,22,71,35,1920,1
66107,DJK Arminia Eilendorf 1919 e.V.,http://www.djk-arminia-eilendorf.de,1919-00-00,56,6,30,34,1482,3
